timeseries,airtemp,relativehumidity,uvradiation,fmatmcontrol,fmatm3wt,fmatm6wt,fmatm9wt,fmatm12wt,fmatm15wt,fmatm18wt
2021-12-27,24.2,99.7,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2021-12-28,24.84,100,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2021-12-29,22.74,99.7,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2021-12-30,22.9,100,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2021-12-31,21.46,71.96,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-01,23.33,96.4,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-02,23.59,96.2,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-03,22.21,62.94,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-04,22.32,46.66,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-05,20.68,68.61,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-06,22.19,60.28,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-07,21.48,72.17,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-08,23.34,95.4,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-09,22.7,78.66,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-10,22.66,72.17,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-11,24.2,100,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-12,24.21,100,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-13,24.08,100,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-14,23.8,100,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-15,23.68,100,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-16,22.73,98.7,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-17,20.67,79.63,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-18,22.43,100,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-19,21.32,78.82,0,3037.19,1979.243333,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-20,22.26,41.03,0,3037.19,2011.69431,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-21,20.9,48.76,0,3037.19,2011.69431,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-22,21.31,51.27,0,3037.19,2011.69431,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-23,20.62,59.75,0,3037.19,2011.69431,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-24,21.15,59.48,0,3037.19,2011.69431,1846.16,2447.58,4715.543333,5801.74,6155.453333
2022-01-25,21.65,65.04,0,3037.19,2011.69431,1846.16,2500.3197,4715.543333,5801.74,6155.453333
2022-01-26,21.51,32.01,0,3037.19,2011.69431,1846.16,2500.3197,4715.543333,5801.74,6155.453333
2022-01-27,20.46,54.32,0,3037.19,2011.69431,1846.16,2500.3197,4715.543333,5801.74,6155.453333
2022-01-28,21.57,43.27,0,3037.19,2011.69431,1846.16,2500.3197,4715.543333,5801.74,6155.453333
2022-01-29,22.81,35.36,0,3037.19,2011.69431,1846.16,2500.3197,4715.543333,5801.74,6155.453333
2022-01-30,22.43,32.11,0,3037.19,2011.69431,1846.16,2500.3197,4715.543333,5691.067,6155.453333
2022-01-31,21.76,28.17,0,3037.19,2011.69431,1846.16,2500.3197,4715.543333,5691.067,6155.453333
2022-02-01,18.27,33.28,0.003,3037.19,2011.69431,1846.16,2500.3197,4715.543333,5691.067,6155.453333
2022-02-02,21.88,51.78,0,3037.19,2011.69431,1924.68713,2500.3197,4715.543333,5691.067,6155.453333
2022-02-03,20.95,80.1,0.003,3037.19,2011.69431,1924.68713,2500.3197,4715.543333,5691.067,6155.453333
2022-02-04,24.33,95,0.002,3037.19,2011.69431,1924.68713,2500.3197,4715.543333,5691.067,6155.453333
2022-02-05,19.8,65.21,0.004,3037.19,2011.69431,1924.68713,2500.3197,4715.543333,5691.067,6155.453333
2022-02-06,21.67,61.44,0.004,3037.19,2011.69431,1924.68713,2500.3197,4715.543333,5691.067,6155.453333
2022-02-07,20.7,90.6,0.003,3037.19,2011.69431,1924.68713,2500.3197,4715.543333,5691.067,6155.453333
2022-02-08,22.96,76.79,0,3037.19,2011.69431,1924.68713,2500.3197,4715.543333,5691.067,6001.453333
2022-02-09,17.01,100,0.005,2815.76,2011.69431,1924.68713,2500.3197,4715.543333,5691.067,6001.453333
2022-02-10,-7.662,100,0.003,2815.76,2011.69431,1924.68713,2500.3197,4715.543333,5691.067,6001.453333
2022-02-11,22.86,100,0.005,2815.76,2011.69431,1924.68713,2500.3197,4715.543333,5691.067,6001.453333
2022-02-12,23.22,100,0.005,2815.76,2011.69431,1924.68713,2500.3197,4715.543333,5691.067,6001.453333
2022-02-13,23.76,100,0.006,2815.76,2011.69431,1924.68713,2500.3197,4715.543333,5691.067,6001.453333
2022-02-14,23.6,100,0.007,2815.76,2011.69431,1924.68713,2500.3197,4715.543333,5691.067,6001.453333
2022-02-15,24.04,100,0.005,2815.76,2011.69431,1924.68713,2500.3197,4567.81201,5691.067,6001.453333
2022-02-16,13.55,100,0,2815.76,2011.69431,1924.68713,2500.3197,4567.81201,5691.067,6001.453333
2022-02-17,24.36,100,0.006,2815.76,2011.69431,1924.68713,2500.3197,4567.81201,5691.067,6001.453333
2022-02-18,23.72,100,0.01,2815.76,2011.69431,1924.68713,2500.3197,4567.81201,5691.067,6001.453333
2022-02-19,23.22,100,0.013,2815.76,2011.69431,1924.68713,2500.3197,4567.81201,5691.067,6001.453333
2022-02-20,25.65,99.9,0.006,2815.76,2011.69431,1924.68713,2500.3197,4567.81201,5691.067,6001.453333
2022-02-21,-0.657,100,0.008,2815.76,2011.69431,1924.68713,2500.3197,4567.81201,5691.067,6001.453333
2022-02-22,23.17,100,0.014,2815.76,2011.69431,1924.68713,2500.3197,4567.81201,5691.067,6001.453333
2022-02-23,23.91,100,0.009,2815.76,2011.69431,1924.68713,2500.3197,4567.81201,5691.067,6001.453333
2022-02-24,19.2,100,0.018,2815.76,2011.69431,1924.68713,2500.3197,4567.81201,5691.067,6001.453333
2022-02-25,12.67,100,0.014,2815.76,2011.69431,1924.68713,2500.3197,4567.81201,5691.067,6001.453333
2022-02-26,24.11,100,0.04,2815.76,2011.69431,1924.68713,2500.3197,4567.81201,5691.067,6001.453333
2022-02-27,24.63,100,0.048,2815.76,2011.69431,1924.68713,2500.3197,4567.81201,5691.067,6001.453333
2022-02-28,24.6,99.9,0.047,2815.76,2011.69431,1924.68713,2500.3197,4567.81201,5691.067,6001.453333
2022-03-01,24.75,64.65,0.036,2580.656,2136.57233,2044.7441,2736.3522,4489.79994,5444.719,5534.35344
2022-03-02,24.61,99.9,0.047,2575.5834,2138.32043,2046.95059,2739.56078,4487.29168,5440.7521,5527.45233
2022-03-03,22.21,0.186,0.064,2570.5108,2140.06853,2049.15708,2742.76936,4484.78342,5436.7852,5520.55122
2022-03-04,23.45,100,0.037,2565.4382,2141.81663,2051.36357,2745.97794,4482.27516,5432.8183,5513.65011
2022-03-05,25.89,16.92,0.052,2560.3656,2143.56473,2053.57006,2749.18652,4479.7669,5428.8514,5506.749
2022-03-06,25.4,0.186,0.033,2555.293,2145.31283,2055.77655,2752.3951,4477.25864,5424.8845,5499.84789
2022-03-07,23.72,0.186,0.033,2550.2204,2147.06093,2057.98304,2755.60368,4474.75038,5420.9176,5492.94678
2022-03-08,27.38,0.186,0.044,2545.1478,2148.80903,2060.18953,2758.81226,4472.24212,5416.9507,5486.04567
2022-03-09,25.34,100,0.043,2540.0752,2150.55713,2062.39602,2762.02084,4469.73386,5412.9838,5479.14456
2022-03-10,25.56,100,0.009,2535.0026,2152.30523,2064.60251,2765.22942,4467.2256,5409.0169,5472.24345
2022-03-11,28.53,0.186,0.044,2529.93,2154.05333,2066.809,2768.438,4464.71734,5405.05,5465.34234
2022-03-12,24.3,100,0.048,2524.8574,2155.80143,2069.01549,2771.64658,4462.20908,5401.0831,5458.44123
2022-03-13,24.13,64.85,0.041,2519.7848,2157.54953,2071.22198,2774.85516,4459.70082,5397.1162,5451.54012
2022-03-14,23.94,100,0.053,2514.7122,2159.29763,2073.42847,2778.06374,4457.19256,5393.1493,5444.63901
2022-03-15,24.96,0.203,0.016,2509.6396,2161.04573,2075.63496,2781.27232,4454.6843,5389.1824,5437.7379
2022-03-16,25.56,100,0.006,2504.567,2162.79383,2077.84145,2784.4809,4452.17604,5385.2155,5430.83679
2022-03-17,24.59,100,0.026,2499.4944,2164.54193,2080.04794,2787.68948,4449.66778,5381.2486,5423.93568
2022-03-18,27.32,0.203,0.026,2494.4218,2166.29003,2082.25443,2790.89806,4447.15952,5377.2817,5417.03457
2022-03-19,24.78,0.203,0.059,2489.3492,2168.03813,2084.46092,2794.10664,4444.65126,5373.3148,5410.13346
2022-03-20,24.53,0.203,0.044,2484.2766,2169.78623,2086.66741,2797.31522,4442.143,5369.3479,5403.23235
2022-03-21,24.37,100,0.046,2479.204,2171.53433,2088.8739,2800.5238,4439.63474,5365.381,5396.33124
2022-03-22,27.66,100,0.041,2474.1314,2173.28243,2091.08039,2803.73238,4437.12648,5361.4141,5389.43013
2022-03-23,24.86,0.203,0.058,2469.0588,2175.03053,2093.28688,2806.94096,4434.61822,5357.4472,5382.52902
2022-03-24,24.15,0.203,0.03,2463.9862,2176.77863,2095.49337,2810.14954,4432.10996,5353.4803,5375.62791
2022-03-25,25.57,0.203,0.037,2458.9136,2178.52673,2097.69986,2813.35812,4429.6017,5349.5134,5368.7268
2022-03-26,25.52,100,0.052,2453.841,2180.27483,2099.90635,2816.5667,4427.09344,5345.5465,5361.82569
2022-03-27,30.4,100,0.041,2448.7684,2182.02293,2102.11284,2819.77528,4424.58518,5341.5796,5354.92458
2022-03-28,24.88,100,0.056,2443.6958,2183.77103,2104.31933,2822.98386,4422.07692,5337.6127,5348.02347
2022-03-29,30.72,100,0.045,2438.6232,2185.51913,2106.52582,2826.19244,4419.56866,5333.6458,5341.12236
2022-03-30,25.31,64.05,0.049,2433.5506,2187.26723,2108.73231,2829.40102,4417.0604,5329.6789,5334.22125
2022-03-31,25.36,100,0.05,2428.478,2189.01533,2110.9388,2832.6096,4414.55214,5325.712,5327.32014
2022-04-01,21.57,100,0.046,2423.4054,2190.76343,2113.14529,2835.81818,4412.04388,5321.7451,5320.41903
2022-04-02,11.22,0.203,0.049,2418.3328,2192.51153,2115.35178,2839.02676,4409.53562,5317.7782,5313.51792
2022-04-03,24.79,0.203,0.046,2413.2602,2194.25963,2117.55827,2842.23534,4407.02736,5313.8113,5306.61681
2022-04-04,26.27,100,0.045,2408.1876,2196.00773,2119.76476,2845.44392,4404.5191,5309.8444,5299.7157
2022-04-05,25.67,100,0.05,2403.115,2197.75583,2121.97125,2848.6525,4402.01084,5305.8775,5292.81459
2022-04-06,21.03,100,0.039,2398.0424,2199.50393,2124.17774,2851.86108,4399.50258,5301.9106,5285.91348
2022-04-07,23.5,0.186,0.063,2392.9698,2201.25203,2126.38423,2855.06966,4396.99432,5297.9437,5279.01237
2022-04-08,23.95,0.186,0.052,2387.8972,2203.00013,2128.59072,2858.27824,4394.48606,5293.9768,5272.11126
2022-04-09,21.89,0.186,0.047,2382.8246,2204.74823,2130.79721,2861.48682,4391.9778,5290.0099,5265.21015
2022-04-10,22.48,0.186,0.055,2377.752,2206.49633,2133.0037,2864.6954,4389.46954,5286.043,5258.30904
2022-04-11,26.26,99.9,0.055,2372.6794,2208.24443,2135.21019,2867.90398,4386.96128,5282.0761,5251.40793
2022-04-12,24.99,100,0.044,2367.6068,2209.99253,2137.41668,2871.11256,4384.45302,5278.1092,5244.50682
2022-04-13,22.92,100,0.05,2362.5342,2211.74063,2139.62317,2874.32114,4381.94476,5274.1423,5237.60571
2022-04-14,23.62,99.9,0.048,2357.4616,2213.48873,2141.82966,2877.52972,4379.4365,5270.1754,5230.7046
2022-04-15,24.43,99.9,0.055,2352.389,2215.23683,2144.03615,2880.7383,4376.92824,5266.2085,5223.80349
2022-04-16,22.77,100,0.06,2347.3164,2216.98493,2146.24264,2883.94688,4374.41998,5262.2416,5216.90238
2022-04-17,24.14,100,0.052,2342.2438,2218.73303,2148.44913,2887.15546,4371.91172,5258.2747,5210.00127
2022-04-18,14.15,99.9,0.061,2337.1712,2220.48113,2150.65562,2890.36404,4369.40346,5254.3078,5203.10016
2022-04-19,23.66,100,0.06,2332.0986,2222.22923,2152.86211,2893.57262,4366.8952,5250.3409,5196.19905
2022-04-20,24.35,100,0.046,2327.026,2223.97733,2155.0686,2896.7812,4364.38694,5246.374,5189.29794
2022-04-21,21.84,100,0.066,2321.9534,2225.72543,2157.27509,2899.98978,4361.87868,5242.4071,5182.39683
2022-04-22,22.54,100,0.064,2316.8808,2227.47353,2159.48158,2903.19836,4359.37042,5238.4402,5175.49572
2022-04-23,24.23,100,0.067,2311.8082,2229.22163,2161.68807,2906.40694,4356.86216,5234.4733,5168.59461
2022-04-24,21.86,100,0.049,2306.7356,2230.96973,2163.89456,2909.61552,4354.3539,5230.5064,5161.6935
2022-04-25,21.85,100,0.059,2301.663,2232.71783,2166.10105,2912.8241,4351.84564,5226.5395,5154.79239
2022-04-26,22.25,100,0.075,2296.5904,2234.46593,2168.30754,2916.03268,4349.33738,5222.5726,5147.89128
2022-04-27,25.62,100,0.06,2291.5178,2236.21403,2170.51403,2919.24126,4346.82912,5218.6057,5140.99017
2022-04-28,22.3,99.9,0.062,2286.4452,2237.96213,2172.72052,2922.44984,4344.32086,5214.6388,5134.08906
2022-04-29,23.93,0.186,0.067,2281.3726,2239.71023,2174.92701,2925.65842,4341.8126,5210.6719,5127.18795
2022-04-30,22.5,0.186,0.058,2276.3,2241.45833,2177.1335,2928.867,4339.30434,5206.705,5120.28684
2022-05-01,23.4,100,0.068,2271.2274,2243.20643,2179.33999,2932.07558,4336.79608,5202.7381,5113.38573
2022-05-02,24.6,100,0.077,2266.1548,2244.95453,2181.54648,2935.28416,4334.28782,5198.7712,5106.48462
2022-05-03,23.51,0.186,0.068,2261.0822,2246.70263,2183.75297,2938.49274,4331.77956,5194.8043,5099.58351
2022-05-04,-7.956,0.186,0.063,2256.0096,2248.45073,2185.95946,2941.70132,4329.2713,5190.8374,5092.6824
2022-05-05,21.52,0.186,0.065,2250.937,2250.19883,2188.16595,2944.9099,4326.76304,5186.8705,5085.78129
2022-05-06,21.21,0.186,0.056,2245.8644,2251.94693,2190.37244,2948.11848,4324.25478,5182.9036,5078.88018
2022-05-07,23.35,0.186,0.083,2240.7918,2253.69503,2192.57893,2951.32706,4321.74652,5178.9367,5071.97907
2022-05-08,24.28,0.186,0.077,2235.7192,2255.44313,2194.78542,2954.53564,4319.23826,5174.9698,5065.07796
2022-05-09,23.42,100,0.08,2230.6466,2257.19123,2241.12171,2957.74422,4316.73,5171.0029,5058.17685
2022-05-10,23.71,100,0.072,2225.574,2258.93933,2241.12171,2960.9528,4314.22174,5167.036,5051.27574
2022-05-11,24.29,0.186,0.065,2220.5014,2260.68743,2241.12171,2964.16138,4311.71348,5163.0691,5044.37463
2022-05-12,24.77,100,0.07,2215.4288,2262.43553,2241.12171,2967.36996,4309.20522,5159.1022,5037.47352
2022-05-13,24.73,100,0.095,2210.3562,2264.18363,2241.12171,2970.57854,4306.69696,5155.1353,5030.57241
2022-05-14,22.13,0.186,0.068,2205.2836,2265.93173,2241.12171,2973.78712,4304.1887,5151.1684,5023.6713
2022-05-15,23.71,99.9,0.081,2200.211,2267.67983,2241.12171,2976.9957,4301.68044,5147.2015,5016.77019
2022-05-16,27.91,100,0.075,2195.1384,2269.42793,2241.12171,2980.20428,4299.17218,5143.2346,5009.86908
2022-05-17,22.28,100,0.094,2190.0658,2271.17603,2241.12171,2983.41286,4296.66392,5139.2677,5002.96797
2022-05-18,23.93,100,0.09,2184.9932,2272.92413,2241.12171,2986.62144,4294.15566,5135.3008,4996.06686
2022-05-19,23.61,100,0.111,2179.9206,2274.67223,2241.12171,2989.83002,4291.6474,5131.3339,4989.16575
2022-05-20,27.24,100,0.084,2174.848,2276.42033,2241.12171,2993.0386,4289.13914,5127.367,4982.26464
2022-05-21,24.47,0.186,0.108,2169.7754,2278.16843,2241.12171,2996.24718,4286.63088,5123.4001,4975.36353
2022-05-22,22.17,0.187,0.08,2164.7028,2279.91653,2241.12171,2999.45576,4284.12262,5119.4332,4968.46242
2022-05-23,15.44,0.186,0.144,2159.6302,2292.15323,2241.12171,3002.66434,4281.61436,5115.4663,4961.56131
2022-05-24,22.53,0.186,0.117,2154.5576,2292.15323,2241.12171,3005.87292,4279.1061,5111.4994,4954.6602
2022-05-25,24.97,0.186,0.163,2149.485,2292.15323,2241.12171,3009.0815,4276.59784,5107.5325,4947.75909
2022-05-26,25.46,100,0.169,2144.4124,2292.15323,2241.12171,3012.29008,4274.08958,5103.5656,4940.85798
2022-05-27,22.25,100,0.157,2139.3398,2292.15323,2241.12171,3015.49866,4271.58132,5099.5987,4933.95687
2022-05-28,23.09,100,0.163,2134.2672,2292.15323,2241.12171,3018.70724,4269.07306,5095.6318,4927.05576
2022-05-29,24.23,99.9,0.222,2129.1946,2292.15323,2241.12171,3021.91582,4266.5648,5091.6649,4920.15465
2022-05-30,23.76,0.186,0.136,2124.122,2292.15323,2243.3282,3025.1244,4264.05654,5091.6649,4913.25354
2022-05-31,23,100,0.147,2119.0494,2292.15323,2245.53469,3028.33298,4261.54828,5091.6649,4906.35243
2022-06-01,17.39,100,0.078,2113.9768,2292.15323,2247.74118,3031.54156,4259.04002,5091.6649,4899.45132
2022-06-02,30.19,99.9,0.08,2108.9042,2292.15323,2249.94767,3034.75014,4256.53176,5091.6649,4892.55021
2022-06-03,8.74,100,0.029,2103.8316,2292.15323,2252.15416,3037.95872,4254.0235,5091.6649,4885.6491
2022-06-04,22.59,100,0.041,2098.759,2292.15323,2254.36065,3041.1673,4251.51524,5091.6649,4878.74799
2022-06-05,28.1,99.9,0.044,2093.6864,2292.15323,2256.56714,3044.37588,4249.00698,5091.6649,4871.84688
2022-06-06,22.68,100,0.066,2088.6138,2292.15323,2258.77363,3047.58446,4246.49872,5091.6649,4864.94577
2022-06-07,22.48,99.9,0.037,2083.5412,2292.15323,2260.98012,3050.79304,4243.99046,5091.6649,4858.04466
2022-06-08,7.789,100,0.033,2078.4686,2292.15323,2263.18661,3054.00162,4241.4822,5091.6649,4851.14355
2022-06-09,23.82,100,0.209,2073.396,2292.15323,2265.3931,3057.2102,4238.97394,5091.6649,4844.24244
2022-06-10,26.08,99.9,0.098,2068.3234,2292.15323,2267.59959,3060.41878,4236.46568,5091.6649,4837.34133
2022-06-11,23.51,100,0.026,2063.2508,2292.15323,2269.80608,3063.62736,4233.95742,5091.6649,4830.44022
2022-06-12,21.03,100,0.085,2058.1782,2292.15323,2272.01257,3066.83594,4231.44916,5036.1283,4823.53911
2022-06-13,23.55,100,0.087,2053.1056,2292.15323,2274.21906,3070.04452,4228.9409,5032.1614,4816.638
2022-06-14,7.42,100,0.122,2048.033,2292.15323,2276.42555,3073.2531,4226.43264,5028.1945,4809.73689
2022-06-15,4.515,100,0.141,2042.9604,2292.15323,2278.63204,3076.46168,4223.92438,5024.2276,4802.83578
2022-06-16,16.74,100,0.201,2037.8878,2292.15323,2280.83853,3079.67026,4221.41612,5020.2607,4795.93467
2022-06-17,24.57,100,0.276,2032.8152,2292.15323,2283.04502,3082.87884,4218.90786,5016.2938,4789.03356
2022-06-18,24.55,100,0.238,2027.7426,2292.15323,2285.25151,3086.08742,4216.3996,5012.3269,4782.13245
2022-06-19,23.28,100,0.194,2022.67,2292.15323,2287.458,3089.296,4213.89134,5008.36,4775.23134
2022-06-20,26.12,0.203,0.288,2017.5974,2292.15323,2289.66449,3092.50458,4211.38308,5004.3931,4768.33023
2022-06-21,24.29,100,0.252,2012.5248,2292.15323,2291.87098,3095.71316,4208.87482,5000.4262,4761.42912
2022-06-22,20.84,100,0.451,2007.4522,2292.15323,2294.07747,3098.92174,4206.36656,4996.4593,4754.52801
2022-06-23,22.89,0.068,0.384,2002.3796,2292.15323,2296.28396,3102.13032,4203.8583,4992.4924,4747.6269
2022-06-24,23.51,91.7,0.359,1997.307,2292.15323,2298.49045,3105.3389,4201.35004,4988.5255,4740.72579
2022-06-25,23.9,100,0.312,1992.2344,2292.15323,2300.69694,3108.54748,4198.84178,4984.5586,4733.82468
2022-06-26,26.28,98.3,0.639,1987.1618,2341.10003,2302.90343,3111.75606,4196.33352,4980.5917,4726.92357
2022-06-27,24.07,100,0.231,1982.0892,2342.84813,2305.10992,3114.96464,4193.82526,4976.6248,4720.02246
2022-06-28,28.04,81.3,0.807,1977.0166,2344.59623,2307.31641,3118.17322,4191.317,4972.6579,4713.12135
2022-06-30,24.53,0.068,0.709,1971.944,2346.34433,2309.5229,3121.3818,4188.80874,4968.691,4706.22024
2022-07-02,-10.36,0.068,0.279,1966.8714,2348.09243,2311.72939,3124.59038,4186.30048,4964.7241,4699.31913
2022-07-03,24.67,100,0.348,1961.7988,2349.84053,2313.93588,3127.79896,4183.79222,4960.7572,4692.41802
2022-07-07,-15.91,100,0.216,1956.7262,2351.58863,2316.14237,3131.00754,4181.28396,4956.7903,4685.51691
2022-07-08,24.81,100,0.78,1951.6536,2353.33673,2318.34886,3134.21612,4178.7757,4952.8234,4678.6158
2022-07-09,0,0,0.331,1946.581,2355.08483,2320.55535,3137.4247,4176.26744,4948.8565,4671.71469
2022-07-10,0,0,0.177,1941.5084,2356.83293,2322.76184,3140.63328,4173.75918,4944.8896,4664.81358
2022-07-12,19.82,100,0.524,1936.4358,2358.58103,2324.96833,3143.84186,4171.25092,4940.9227,4657.91247
2022-07-14,23.36,100,0.316,1931.3632,2360.32913,2327.17482,3147.05044,4168.74266,4936.9558,4651.01136
2022-07-15,7.16,100,0.14,1926.2906,2362.07723,2329.38131,3150.25902,4166.2344,4932.9889,4644.11025
2022-07-16,22.72,100,0.243,1921.218,2363.82533,2331.5878,3153.4676,4163.72614,4929.022,4637.20914
2022-07-17,3.989,100,0.292,1916.1454,2365.57343,2333.79429,3156.67618,4161.21788,4925.0551,4630.30803
2022-07-18,9.12,100,0.258,1911.0728,2367.32153,2336.00078,3159.88476,4158.70962,4921.0882,4623.40692
2022-07-19,3.16,100,0.3,1906.0002,2369.06963,2338.20727,3163.09334,4156.20136,4917.1213,4616.50581
2022-07-20,0,0,0.215,1900.9276,2370.81773,2340.41376,3166.30192,4153.6931,4913.1544,4609.6047
2022-07-21,0,0,0.295,1895.855,2372.56583,2342.62025,3169.5105,4151.18484,4909.1875,4602.70359
2022-07-22,0,0,0.145,1890.7824,2374.31393,2344.82674,3172.71908,4148.67658,4905.2206,4595.80248
2022-07-23,0,0,0.12,1885.7098,2376.06203,2347.03323,3175.92766,4146.16832,4901.2537,4588.90137
2022-07-24,0,0,0.114,1880.6372,2377.81013,2349.23972,3179.13624,4143.66006,4897.2868,4582.00026
2022-07-25,-39.93,0.068,0.189,1875.5646,2379.55823,2351.44621,3182.34482,4141.1518,4893.3199,4575.09915
2022-07-26,20,100,0.143,1870.492,2381.30633,2353.6527,3185.5534,4138.64354,4889.353,4568.19804
2022-07-27,15.68,100,0.205,1865.4194,2383.05443,2355.85919,3188.76198,4136.13528,4885.3861,4561.29693
2022-07-28,-7.364,100,0.184,1860.3468,2384.80253,2358.06568,3191.97056,4133.62702,4881.4192,4554.39582
2022-07-29,18.2,100,0.117,1855.2742,2386.55063,2360.27217,3195.17914,4131.11876,4877.4523,4547.49471
2022-07-30,0,0,0.106,1850.2016,2388.29873,2362.47866,3198.38772,4128.6105,4873.4854,4540.5936
2022-07-31,16.1,100,0.158,1845.129,2390.04683,2364.68515,3201.5963,4126.10224,4869.5185,4533.69249
2022-08-01,18.56,100,0.171,1840.0564,2391.79493,2366.89164,3204.80488,4123.59398,4865.5516,4526.79138
2022-08-02,0,0,0.313,1834.9838,2393.54303,2369.09813,3208.01346,4121.08572,4861.5847,4519.89027
2022-08-03,-39.97,0.034,0.266,1829.9112,2395.29113,2371.30462,3211.22204,4118.57746,4857.6178,4512.98916
